,underlying_symbol_y,settle_price_m,delisted_date_x,settle_price_sm,delisted_date_y,date,price_div_log,date_minus,factor
CZCE.SM,CZCE.SM,6824.0,2020-09-14 00:00:00+08:00,6736.0,2020-10-22 00:00:00+08:00,2020-06-16,0.012979533249352325,38.0,0.12296399920439044
CZCE.SR,CZCE.SR,5064.0,2020-09-14 00:00:00+08:00,4902.0,2021-01-15 00:00:00+08:00,2020-06-16,0.03251339973595431,123.0,0.09516116995889067
CZCE.TA,CZCE.TA,3680.0,2020-09-14 00:00:00+08:00,3830.0,2021-01-15 00:00:00+08:00,2020-06-16,-0.039952051011715034,123.0,-0.11693283222940985
CZCE.UR,CZCE.UR,1532.0,2020-09-14 00:00:00+08:00,1515.0,2021-01-15 00:00:00+08:00,2020-06-16,0.011158632357067029,123.0,0.03265941177678155
CZCE.WH,CZCE.WH,2514.0,2020-09-14 00:00:00+08:00,2596.0,2021-01-15 00:00:00+08:00,2020-06-16,-0.03209668867378785,123.0,-0.09394152782572053
CZCE.ZC,CZCE.ZC,540.0,2020-09-07 00:00:00+08:00,537.6,2020-11-06 00:00:00+08:00,2020-06-16,0.004454350349380153,60.0,0.02672610209628092
DCE.A,DCE.A,4785.0,2020-09-14 00:00:00+08:00,4372.0,2021-01-15 00:00:00+08:00,2020-06-16,0.0902654545906255,123.0,0.2641915744115868
DCE.B,DCE.B,3033.0,2020-08-14 00:00:00+08:00,3115.0,2020-09-14 00:00:00+08:00,2020-06-16,-0.02667692353297244,31.0,-0.30979653135064766
DCE.BB,DCE.BB,183.15,2020-08-14 00:00:00+08:00,180.75,2020-09-14 00:00:00+08:00,2020-06-16,0.013190628185949264,31.0,0.1531814886110237
DCE.C,DCE.C,2115.0,2020-09-14 00:00:00+08:00,2145.0,2021-01-15 00:00:00+08:00,2020-06-16,-0.014084739881738972,123.0,-0.041223628922162844
DCE.CS,DCE.CS,2430.0,2020-09-14 00:00:00+08:00,2460.0,2021-01-15 00:00:00+08:00,2020-06-16,-0.01227009259181436,123.0,-0.03591246612238349
DCE.EB,DCE.EB,5735.0,2020-09-25 00:00:00+08:00,6011.0,2021-01-26 00:00:00+08:00,2020-06-16,-0.04700337347569101,123.0,-0.1375708491971444
DCE.EG,DCE.EG,3646.0,2020-09-25 00:00:00+08:00,3831.0,2021-01-26 00:00:00+08:00,2020-06-16,-0.04949518946204069,123.0,-0.14486396915719227
DCE.FB,DCE.FB,1338.5,2020-09-14 00:00:00+08:00,1257.5,2020-07-14 00:00:00+08:00,2020-06-16,0.06242396098651291,62.0,0.3624617089539459
DCE.I,DCE.I,776.0,2020-09-14 00:00:00+08:00,696.0,2021-01-15 00:00:00+08:00,2020-06-16,0.10880285984879917,123.0,0.31844739467941224
DCE.J,DCE.J,1943.5,2020-09-14 00:00:00+08:00,1867.5,2021-01-15 00:00:00+08:00,2020-06-16,0.03988983328530546,123.0,0.11675073156674769
DCE.JD,DCE.JD,3762.0,2020-09-25 00:00:00+08:00,2874.0,2020-07-28 00:00:00+08:00,2020-06-16,0.26924594322200546,59.0,1.6428566027105416
DCE.JM,DCE.JM,1177.5,2020-09-14 00:00:00+08:00,1145.0,2021-01-15 00:00:00+08:00,2020-06-16,0.0279889099022328,123.0,0.08191876068946186
DCE.L,DCE.L,6760.0,2020-09-14 00:00:00+08:00,6680.0,2021-01-15 00:00:00+08:00,2020-06-16,0.011904902506318458,123.0,0.03484361709166378
DCE.M,DCE.M,2825.0,2020-09-14 00:00:00+08:00,2896.0,2021-01-15 00:00:00+08:00,2020-06-16,-0.024822109925065696,123.0,-0.07265007782946058
DCE.P,DCE.P,4940.0,2020-09-14 00:00:00+08:00,4846.0,2021-01-15 00:00:00+08:00,2020-06-16,0.019211708805497076,123.0,0.0562293916258451
DCE.PG,DCE.PG,3432.0,2020-11-25 00:00:00+08:00,3461.0,2020-12-28 00:00:00+08:00,2020-06-16,-0.008414383027491378,33.0,-0.09179326939081503
DCE.PP,DCE.PP,7414.0,2020-09-14 00:00:00+08:00,7100.0,2021-01-15 00:00:00+08:00,2020-06-16,0.04327532068127082,123.0,0.12665947516469508
DCE.RR,DCE.RR,3457.0,2020-09-14 00:00:00+08:00,3394.0,2020-08-14 00:00:00+08:00,2020-06-16,0.018391994127453005,31.0,0.2135844479317123
